conversation_index,question
207,"Question: Quel est le délai de rétractation pour un achat effectué auprès d'un démarcheur à domicile ?

Documents pertinents:
[1] Source: article 2 du Code de Commerce
Sont commerçants ceux qui exercent des actes de commerce...

[2] Source: article 598 du Code de Commerce
Les contrats commerciaux peuvent se prouver par tous moyens..."
208,"السؤال: كيف يعرّف القانون التجاري التونسي الوكيل التجاري؟

المستندات ذات الصلة:
[1] المصدر: الفصل 625 من مجلة التجارة
الوكيل التجاري هو الشخص الذي، دون أن يكون مرتبطا بعقد إيجار خدمات، يلتزم بإعداد أو إبرام، بصفة اعتيادية، عمليات شراء أو بيع وبوجه عام جميع العمليات التجارية الأخرى باسم ولحساب تاجر."
209,"Question: Quelles sont exactement les obligations comptables détaillées d'un commerçant soumis à la tenue de livres selon le Code de Commerce ?

Documents pertinents:
[1] Source: article 8 du Code de Commerce
Les personnes physiques ou morales soumises à l'obligation de la tenue d'une comptabilité doivent : 1) enregistrer, jour par jour, sur un livre-journal, toutes leurs opérations ou, mensuellement, les totaux seulement de ces opérations, lorsque ces totaux sont obtenus grâce à la tenue de livres auxiliaires; ces derniers sont alors soumis aux mêmes conditions de tenue que le livre-journal proprement dit; 2) dresser, au moins une fois par an, un inventaire des éléments actifs et passifs de leur entreprise. Le détail de cet inventaire est porté sur un livre d'inventaire; 3) conserver, pendant 10 ans, tous documents justificatifs des opérations inscrites sur les livres susvisés."
210,"Question: Mon associé veut utiliser nos livres comptables comme preuve devant le tribunal commercial contre notre fournisseur. Est-ce possible même si nous n'avons pas fait parapher tous les livres ?

Documents pertinents:
[1] Source: article 11 du Code de Commerce
Les livres de commerce, régulièrement tenus, peuvent être admis par le juge pour faire preuve entre commerçants pour faits de commerce. Toutefois, les livres que les commerçants sont obligés de tenir et pour lesquels ils n'ont pas observé les formalités ci-dessus prescrites, ne peuvent être représentés ni faire foi en justice au profit de ceux qui les ont tenus, sans préjudice des cas particuliers prévus au livre relatif aux procédures collectives. (Modifié par Art.2 de la loi n° 2016-36 du 29 avril 2016)."
211,"Question: J'ai acheté un fonds de commerce il y a un mois mais je n'ai ni publié l'acte ni déposé le contrat au domicile élu. Le vendeur me réclame le paiement du prix. Quels sont les risques juridiques pour moi ?

Documents pertinents:
[1] Source: article 192 du Code de Commerce
A partir de la vente et jusqu'à l'expiration d'un délai de vingt jours après la publication au Journal Officiel de la République tunisienne, l'acquéreur est tenu de laisser en dépôt, au domicile élu, un des originaux de l'acte de vente, si l'acte a été dressé sous seing privé, ou une expédition, si l'acte est authentique. Il est tenu de les communiquer à tout créancier ou opposant. Ceux-ci peuvent en prendre, sans déplacement, communication et copie. Dans le même délai, le vendeur peut prendre communication et copie des oppositions. Si le fonds de commerce fait l'objet de nantissements inscrits, l'acheteur doit dans le même délai, notifier par huissier de justice aux créanciers inscrits à leur domicile élu lors de leurs inscriptions, et ce, au fin d'opposition. A défaut il ne peut opposer aux créanciers le prix payé.

[2] Source: article 204 du Code de Commerce
L'acquéreur qui, sans avoir fait les publications dans les formes prescrites, ou qui, soit avant l'expiration du délai de vingt jours, soit au mépris des inscriptions ou oppositions, aura versé le prix au vendeur, n'est pas libéré à l'égard des tiers; il en est de même au cas où l'acquéreur n'aurait pas déposé son contrat au domicile élu conformément à l'article 192 ci-dessus."
212,"Question: En tant que créancier inscrit sur un fonds de commerce qui vient d'être vendu, le prix ne suffit pas à me désintéresser. Comment puis-je déclencher une surenchère du sixième et existe-t-il des cas où ce droit m'est refusé ?

Documents pertinents:
[1] Source: article 194 du Code de Commerce
Si le prix ne suffit pas à désintéresser les créanciers inscrits et ceux qui se sont révélés par des oppositions au plus tard dans le délai fixé à l'article 193, ces créanciers peuvent former, dans les dix jours qui suivent l'expiration du délai d'opposition, une surenchère du sixième. Les dispositions des articles 252, 254 à 257 ci-après sont applicables pour tout ce qui n'est pas prévu au présent article.

[2] Source: article 196 du Code de Commerce
La surenchère du sixième aura lieu aux mêmes conditions et délais que la vente sur laquelle la surenchère est intervenue.

[3] Source: article 198 du Code de Commerce
La surenchère du sixième n'est pas admise après la vente judiciaire d'un fonds de commerce, ou la vente poursuivie à la requête d'un syndic de faillite, de liquidateurs et d'administrateurs judiciaires, ou de copropriétaires indivis du fonds et faite aux enchères publiques."
213,"Question: Quels sont les taux de TVA applicables aux opérations de vente de marchandises en Tunisie pour l'année en cours ?

Documents pertinents:
[1] Source: article 2 du Code de Commerce
Est commerçant, quiconque, à titre professionnel, procède à des actes de production, circulation, spéculation, entremise, sous réserve des exceptions prévues par la loi...

[2] Source: article 8 du Code de Commerce
Les personnes physiques ou morales soumises à l'obligation de la tenue d'une comptabilité doivent : 1) enregistrer, jour par jour, sur un livre-journal, toutes leurs opérations..."
214,"Question: Je veux donner mon fonds de commerce en nantissement à la banque. Qu'est-ce qui est inclus automatiquement dans le gage ?

Documents pertinents:
[1] Source: article 237 du Code de Commerce
Sont seuls susceptibles d'être compris dans le nantissement comme faisant partie d'un fonds de commerce : l'enseigne et le nom commercial, le droit au bail, la clientèle et l'achalandage, le mobilier commercial, le matériel et l'outillage servant à l'exploitation du fonds, les brevets d'invention, les licences, les marques de fabrique et de commerce, les dessins et modèles industriels et généralement les droits de propriété industrielle, littéraire ou artistique qui y sont attachés. Le certificat d'addition, postérieur au nantissement qui comprend le brevet auquel il s'applique, suivra le sort de ce brevet et fera partie, comme lui, du gage constitué. A défaut de désignation expresse et précise dans l'acte qui le constate, le nantissement ne comprend que l'enseigne et le nom commercial, le droit au bail, la clientèle et l'achalandage. Si le nantissement porte sur un fonds de commerce et ses succursales, celles-ci doivent être désignées par l'indication précise de leurs sièges."
215,"Question: Je suis propriétaire d'un fonds de commerce que j'ai mis en location. Un fournisseur me réclame le paiement de marchandises commandées par le locataire. Suis-je solidairement responsable de ces dettes ?

Documents pertinents:
[1] Source: article 234 du Code de Commerce
Jusqu'à la publication du contrat de location, le loueur du fonds est solidairement responsable, avec le locataire, des dettes contractées par celui-ci à l'occasion de l'exploitation du fonds.

[2] Source: article 235 du Code de Commerce
Les dispositions de l'article 234 ci-dessus ne s'appliquent pas aux contrats de location passés par les mandataires de justice, à condition qu'ils aient été autorisés aux fins desdits contrats par l'autorité de laquelle ils tiennent leur mandat."
216,"Question: Pendant combien de temps l'inscription du privilège du vendeur sur le registre public reste-t-elle valide, et faut-il la renouveler ?

Documents pertinents:
[1] Source: article 212 du Code de Commerce
L'inscription conserve le privilège pendant dix ans à compter du jour de sa date; son effet cesse si elle n'a pas été renouvelée avant l'expiration de ce délai. Elle garantit, au même rang que le principal, deux années d'intérêts."
217,"Question: Le locataire d'un fonds de commerce est-il considéré comme commerçant et assume-t-il les risques de l'exploitation ?

Documents pertinents:
[1] Source: article 230 du Code de Commerce
Le locataire prend à sa charge l'exploitation moyennant le paiement d'un loyer au propriétaire. Il exploite le fonds à ses risques et périls. Il n'est ni cessionnaire, ni sous-locataire du bail de l'immeuble."
218,"السؤال: مَن له صلاحية ترقيم ووضع إمضاء على دفتر اليومية ودفتر الجرد التجاريين؟

المستندات ذات الصلة:
[1] المصدر: الفصل 9 من مجلة التجارة
يكون دفتر اليومية ودفتر الجرد المشار إليهما بالفصل 8 مرقمّين وموقّعين من طرف القاضي أو من طرف رئيس البلدية أو أحد معاونيه، وذلك في الشكل العادي ودون مصاريف."
219,"السؤال: قمت ببيع محلي التجاري وحصلت على ثمنه، لكن تقدم أحد الدائنين باعتراض على دفع الثمن. ما هي القواعد المتعلقة بتوزيع ثمن المحل التجاري في حالة وجود اعتراضات؟

المستندات ذات الصلة:
[1] المصدر: الفصل 199 من مجلة التجارة
يجب على كل من يحوز ثمن اقتناء محل تجاري أن يقوم بتوزيعه في غضون ثلاثة أشهر من تاريخ عقد البيع. وعند انقضاء هذا الأجل، يجوز لأكثر الأطراف نشاطاً أن يلجأ إلى قاضي المستعجلات لدى المحكمة التي يقع في دائرة اختصاصها المحل، فيأمر إمّا بإيداع الثمن بالصندوق الوطني للإيداع والاحتياط، أو بتعيين حارس قضائي موزّع.

[2] المصدر: الفصل 200 من مجلة التجارة
في حالة الاعتراض على دفع ثمن البيع، يمكن للبائع، في جميع الأحوال، بعد انقضاء الأجل المحدد بعشرين يوما بالفصل 192، أن يلجأ إلى قاضي المستعجلات لدى المحكمة بقصد الحصول على دفع ثمنه رغم الاعتراض، بشرط إيداع مبلغ كافٍ بصندوق الإيداع والاحتياط أو بين يدي طرف ثالث مكلف بذلك، يحدده قاضي المستعجلات، للإجابة عن أسباب الاعتراض في حالة ما إذا اعترف بأنه مدين أو صدر بحكم إدانته.

[3] المصدر: الفصل 201 من مجلة التجارة
تخصّص المبالغ المودعة على هذا النحو بين يدي الطرف الثالث الحائز لضمان الديون التي من أجلها حصل الاعتراض، ويمنح امتيازاً حصرياً على سائر الديون عليها فيما يخص ذلك الإيداع."
220,"السؤال: بصفتي دائناً لم يتقاضى دينه، أريد طلب بيع المحل التجاري التابع لمديني قسراً. ما هي المراحل الإجرائية الأساسية لهذه العملية؟

المستندات ذات الصلة:
[1] المصدر: الفصل 243 من مجلة التجارة
يجوز لكل دائن يمارس إجراءات حجز تنفيذي والمدين الذي تُمارَس في مواجهته هذه الإجراءات أن يطلبا، أمام المحكمة التي يقع في دائرة اختصاصها المحل التجاري، بيع المحل التجاري المحجوز مع ما يتبعه من معدات وبضائع. وبناءً على طلب الدائن المباشر للإجراءات، تأمر المحكمة بأنه في حالة عدم الدفع في الأجل المحدد للمدين، يتم البيع بناءً على طلب هذا الدائن بعد إنجاز الإجراءات المقررة بالفصل 244... وتسمّي المحكمة عند الاقتضاء مديراً مؤقتاً للمحل، وتحدد أسعار الافتتاح، وتعين الشروط الرئيسية للبيع، وتكلف الموظف العمومي المختص للقيام بذلك وبتحرير دفتر الشروط. وتصدر المحكمة حكماً تنفيذياً على الأصل في غضون شهر من تسجيل القضية.

[2] المصدر: الفصل 245 من مجلة التجارة
يقوم الطالب المباشر بإجراء إنذار لصاحب المحل والدائنين المقيدين سابقاً على القرار الذي أمر بالبيع، في الموطن المختار المبين بقيودهم، قبل خمسة عشر يوماً على الأقل من البيع، للاطلاع على دفتر الشروط وتقديم ملاحظاتهم وحضور المزاد إن شاؤوا. ويتم البيع بعد عشرة أيام على الأقل من تعليق إعلانات تتضمن أسماء ومهن ومواطن الطالب وصاحب المحل... كما يُدرج الإعلان بالرسمية والجمهورية وعند ذلك في جريدة يومية."
221,"السؤال: ما هي الإجراءات القانونية اللازمة لفصل عامل لأسباب اقتصادية في تونس؟

المستندات ذات الصلة:
[1] المصدر: الفصل 2 من مجلة التجارة
يُعتبر تاجراً كل من يزاول بصفة مهنية أعمال الإنتاج والتداول والمضاربة والوساطة...

[2] المصدر: الفصل 230 من مجلة التجارة
يتحمل المستأجر عملية الاستغلال مقابل دفع إيجار لصاحب المحل. ويستغل المحل على مسؤوليته ومخاطرته."
222,"السؤال: هل يمكنني اشتراط الاحتفاظ بجزء من ثمن البيع في حالة فسخ عقد بيع المحل التجاري؟

المستندات ذات الصلة:
[1] المصدر: الفصل 227 من مجلة التجارة
تُعتبر كأن لم تكن، في كل عقد يتضمن بيع محل تجاري، الشرط الذي بموجبه يحتفظ البائع بكل الثمن المدفوع أو بجزء منه في حالة الفسخ."
223,"السؤال: إذا كان المحل التجاري محل رهن حيازي لصالح عدة دائنين، فكيف يتم تحديد أولوية كل واحد منهم في استخلاص دينه؟

المستندات ذات الصلة:
[1] المصدر: الفصل 240 من مجلة التجارة
يُحدّد ترتيب الدائنين المرتهنين فيما بينهم بتاريخ قيودهم. ويأتي الدائنون المقيّدون في اليوم نفسه على قدم المساواة."
224,"السؤال: باعتُ محلاً تجارياً ونسيت إجراء قيد امتياز البائع في الآجل القانوني، كما أنني أغفلت بعض البيانات الإلزامية في الحدود. هل يمكن أن أُطالب ببطلان قيد غيري من الدائنين لمجرد نقص في بياناتهم؟

المستندات ذات الصلة:
[1] المصدر: الفصل 206 من مجلة التجارة
يجب أن يتم القيد تحت طائلة البطلان في غضون خمسة عشر يوماً من عقد البيع. ويبقى هذا الأجل سارياً حتى في حالة صدور حكم بإعلان الإفلاس. يمكن التمسك بهذا البطلان من قبل كل شخص له مصلحة، ومنطوق به حتى من قبل المدين. والقيد المتخذ على هذا النحو يتقدم على كل قيد آخر تم من طرف المشتري. وهو قابل للمواجهة في حالة إفلاس المشتري.

[2] المصدر: الفصل 209 من مجلة التجارة
لا يترتب على الإغفال في الحدود من بيان واحد أو أكثر من البيانات المقررة بالفصل 207 بطلان القيد إلا إذا نتج عن ذلك ضرر يلحق بالغير. ولا يمكن طلب البطلان إلا من قبل الذين يلحقهم الإغفال أو عدم الانتظام بضرر، ويمكن للمحاكم، حسب طبيعة الضرر ومداه، أن تحكم ببطلان القيد أو بتقليص أثره."
225,"السؤال: أنوي نقل محلي التجاري إلى ولاية أخرى دون علم الدائنين المقيدين. ما هي الآثار القانونية المترتبة على هذا النقل؟

المستندات ذات الصلة:
[1] المصدر: الفصل 241 من مجلة التجارة
في حالة نقل المحل التجاري، تصبح الديون المقيدة مستحقة الأداء من تلقاء نفسها، إذا لم يُعرّف صاحب المحل الدائنين المقيدين، قبل خمسة عشر يوماً على الأقل، بمرسالة مضمونة الوصول مع الإشعار بالاستلام موجهة إلى المواطن المختار، بنية نقله للمحل والمقر الجديد الذي يعتزم إسناده إليه. وفي غضون خمسة عشر يوماً من تاريخ الإعلام الموجه إليهم أو من اليوم الذي بلغهم فيه علم النقل، يجب على البائع أو الدائن المرتهن أن يُبيّنا في هامش القيد الموجود المقر الجديد للمحل... وفي حالة الإغفال عن إنجاز الإجراءات المقررة بالفقرة السابقة، يمكن سقوط حق الدائن المقيّد من امتيازه إذا ثبت أن إهماله تسبّب في ضرر يلحق بالأطراف الثالثة الذين أُوقعوا في الغلط بشأن الوضعية القانونية للمحل. ونقل المحل التجاري دون موافقة البائع أو الدائن المرتهن يمكن، إذا نتج عن ذلك استهلاك قيمة المحل، أن يجعل ديونهم مستحقة الأداء."
226,"السؤال: ما هي مدة الاحتفاظ بالشخص لدى الأمن الوطني للتحقيق معه في تهمة تزوير فواتير تجارية؟

المستندات ذات الصلة:
[1] المصدر: الفصل 11 من مجلة التجارة
دفاتر التجارة المنتظمة يمكن أن تُقبل من طرف القاضي لتكوين الحجة بين التجار في شأن الأعمال التجارية...

[2] المصدر: الفصل 199 من مجلة التجارة
يجب على كل من يحوز ثمن اقتناء محل تجاري أن يقوم بتوزيعه في غضون ثلاثة أشهر من تاريخ عقد البيع..."
227,"السؤال: هل يكتسب مستأجر المحل التجاري صفة التاجر بمجرد استغلال المحل؟

المستندات ذات الصلة:
[1] المصدر: الفصل 230 من مجلة التجارة
يتحمل المستأجر عملية الاستغلال مقابل دفع إيجار لصاحب المحل. ويستغل المحل على مسؤوليته ومخاطرته. وليس له صفة منتقل إليه الحق ولا صفة المستأجر الفرعي في عقد كراء العقار."
228,"السؤال: اشتريت محلاً تجارياً واكتشفت بعد ستة أشهر من حيازتي أن البيانات المضمنة في عقد البيع غير دقيقة. هل فاتني أجل المطالبة بالضمان؟ وماذا يحدث لدفاتر المحاسبة؟

Documents pertinents:
[1] Source: article 218 du Code de Commerce
L'action résultant de l'article 217 doit être intentée par l'acquéreur dans le délai d'une année, à courir de la date de sa prise de possession.

[2] Source: article 219 du Code de Commerce
Au jour de la vente, le vendeur et l'acheteur visent les livres de comptabilité qui ont été tenus par le vendeur et qui se réfèrent aux trois exercices précédant la vente et à l'exercice en cours. La propriété des livres de comptabilité prévus à l'alinéa précédent est, sauf stipulation contraire, transférée à l'acheteur du fonds. L'acheteur doit mettre ces livres à la disposition du vendeur pendant dix ans à partir de la vente. Si le vendeur a conservé la propriété des livres de comptabilité, il doit les mettre à la disposition de l'acheteur pendant dix ans au moins à partir de la vente. Toute clause contraire aux dispositions des alinéas 3 et 4 ci-dessus est réputée non écrite."
229,"Question: Un fait juridique non commercial accompli par un commerçant est-il soumis au Code de Commerce ?

المستندات ذات الصلة:
[1] المصدر: الفصل 4 من مجلة التجارة
تخضع لأحكام هذا الكتاب الوقائع والأعمال القانونية التابعة للنشاط التجاري. وتُعدّ تبعية، ما لم يثبت العكس، جميع الوقائع والأعمال المنجزة من قبل تاجر على النحو المعرّف به بالفصل 2."
230,"Question: Toute personne capable de s'obliger peut-elle exercer le commerce ?

Documents pertinents:
[1] Source: article 5 du Code de Commerce
Toute personne capable de s'obliger peut exercer le commerce."
231,"Question: Quelle est la valeur probante des livres de commerce régulièrement tenus entre commerçants ?

Documents pertinents:
[1] Source: article 11 du Code de Commerce (modifié par Art.2 de la loi n° 2016-36)
Les livres de commerce, régulièrement tenus, peuvent être admis par le juge pour faire preuve entre commerçants pour faits de commerce. Toutefois, les livres que les commerçants sont obligés de tenir et pour lesquels ils n'ont pas observé les formalités ci-dessus prescrites, ne peuvent être représentés ni faire foi en justice au profit de ceux qui les ont tenus, sans prejudice des cas particuliers prévus au livre relatif aux procédures collectives."
232,"Question: Quelles sont les obligations de l'acquéreur d'un fonds de commerce en matière de dépôt de l'acte et comment les créanciers du vendeur peuvent-ils former opposition ?

Documents pertinents:
[1] Source: article 192 du Code de Commerce
A partir de la vente et jusqu'à l'expiration d'un délai de vingt jours après la publication au Journal Officiel de la République tunisienne, l'acquéreur est tenu de laisser en dépôt, au domicile élu, un des originaux de l'acte de vente, si l'acte a été dressé sous seing privé, ou une expédition, si l'acte est authentique. Il est tenu de les communiquer à tout créancier ou opposant.

[2] Source: article 193 du Code de Commerce
Dans les vingt jours au plus tard suivant l'insertion au Journal Officiel de la République tunisienne, tout créancier du précédent propriétaire, que sa créance soit ou non exigible, peut former, au domicile élu, par acte extrajudiciaire ou par lettre recommandée avec avis de réception, opposition au paiement du prix. L'opposition, à peine de nullité, énonce le nom et le domicile de l'opposant, le montant et les causes de la créance. Le bailleur ne peut former opposition pour loyers en cours et à échoir, nonobstant toutes dispositions contraires."
233,"Question: Quelles sont les conditions de validité et de délai pour l'inscription du privilège du vendeur d'un fonds de commerce ?

Documents pertinents:
[1] Source: article 205 du Code de Commerce
Le privilège du vendeur d'un fonds de commerce n'a lieu que si la vente a été constatée par un acte authentique ou sous seing privé dûment enregistré, et que s'il a été inscrit sur un registre public tenu au greffe du Tribunal dans le ressort duquel le fonds est exploité. Il ne porte que sur les éléments du fonds énumérés dans la vente et dans l'inscription, et à défaut de désignation précise, que sur l'enseigne et le nom commercial, le droit au bail, la clientèle et l'achalandage.

[2] Source: article 206 du Code de Commerce
L'inscription doit être prise, à peine de nullité, dans la quinzaine de l'acte de vente. Le délai reste applicable même en cas de jugement déclaratif de faillite. Cette nullité peut être invoquée par tout intéressé, même par le débiteur. L'inscription, ainsi prise, prime toute autre, prise du chef de l'acquéreur. Elle est opposable à la faillite de l'acquéreur."
234,"Question: Quel est le taux d'intérêt légal applicable aux comptes courants d'associés en cas de retrait abusif ?

Documents pertinents:
[1] Source: Aucun article pertinent dans les extraits fournis du Code de Commerce.
(Les documents fournis ne contiennent pas de disposition relative au taux d'intérêt légal applicable aux comptes courants d'associés en cas de retrait abusif. Cette matière relève d'autres textes comme le Code des obligations et des contrats ou le droit fiscal.)"
235,"Question: Est-ce que le vendeur d'un fonds de commerce est toujours tenu à la garantie des énonciations, et pour combien de temps l'acquéreur peut-il agir ?

Documents pertinents:
[1] Source: article 217 du Code de Commerce
Le vendeur est, nonobstant toute stipulation contraire, tenu de la garantie à raison de l'inexactitude de ses énonciations dans les conditions édictées par les articles 630 et suivants du Code des Obligations et des Contrats. Les rédacteurs d'actes, les intermédiaires et leurs préposés sont tenus solidairement avec lui, s'ils connaissent l'inexactitude des énonciations faites.

[2] Source: article 218 du Code de Commerce
L'action resultant de l'article 217 doit être intentée par l'acquéreur dans le délai d'une année, à courir de la date de sa prise de possession."
236,"Question: Comment se déroule la vente forcée d'un fonds de commerce à la demande d'un créancier gagiste ?

Documents pertinents:
[1] Source: article 243 du Code de Commerce (dernier paragraphe ajouté par loi n°2000-61)
Tout créancier, qui exerce des poursuites de saisie-exécution et le débiteur, contre lequel elles sont exercées, peuvent demander, devant le Tribunal dans le ressort duquel le fonds est exploité, la vente du fonds de commerce saisi avec le matériel et les marchandises qui en dépendent. [...] Le Tribunal peut, par la décision rendue, autoriser le poursuivant, s'il n'y a pas d'autres créanciers inscrits ou opposants, et sauf prélèvement des frais privilégiés au profit de qui de droit, à toucher le prix directement et sur sa simple quittance.

[2] Source: article 244 du Code de Commerce
Le vendeur et le créancier gagiste, inscrits sur un fonds de commerce, peuvent également faire ordonner la vente du fonds qui constitue leur gage, huit jours après sommation de payer, faite au débiteur et au tiers détenteur, s'il y a lieu, et demeurée infructueuse.

[3] Source: article 245 du Code de Commerce
Le poursuivant fait sommation au propriétaire du fonds et aux créanciers inscrits antérieurement à la décision qui ordonne la vente, aux domiciles élus par eux dans leurs inscriptions, quinze jours au moins avant la vente, de prendre communication du cahier des charges, de fournir leurs dires et observations et d'assister à l'adjudication si bon leur semble."
237,"Question: Qu'advient-il des signatures de personnes incapables sur une lettre de change ?

Documents pertinents:
[1] Source: article 273 du Code de Commerce
Les lettres de change souscrites par des mineurs non commerçants sont nulles à leur égard, sauf les droits respectifs des parts, conformément à l'article 13 du Code des obligations et des contrats. Si la lettre de change porte des signatures de personnes incapables de s'obliger par lettre de change, des signatures fausses ou des signatures de personnes imaginaires ou des signatures qui, pour toute autre raison, ne sauraient obliger les personnes qui ont signé la lettre de change, ou au nom desquelles elle a été signée, les obligations des autres signataires n'en sont pas moins valables."
238,"Question: Quelles sont les formalités pour exercer un recours en cas de refus d'acceptation d'une lettre de change ?

Documents pertinents:
[1] Source: article 306 du Code de Commerce
Le porteur peut exercer ses recours contre les endosseurs, le tireur et les autres obligés : - à l'échéance ; - si le payement n'a pas eu lieu ; Même avant l'échéance : 1) s'il y a eu refus total ou partiel d'acceptation ; 2) dans le cas de faillite du tiré, accepteur ou non...

[2] Source: article 307 du Code de Commerce
Le refus d'acceptation ou de payement doit être constaté par un acte authentique (protêt faute d'acceptation ou faute de payement). Le protêt faute d'acceptation doit être fait dans les délais fixés par la présentation à l'acceptation.

[3] Source: article 308 du Code de Commerce
Le porteur doit donner avis du défaut d'acceptation ou de payement à son endosseur dans les quatre jours ouvrables qui suivent le jour du protêt ou celui de la présentation, en cas de clause de retour sans frais. Chaque endosseur doit, dans les trois jours ouvrables qui suivent le jour où il a reçu l'avis, faire connaître à son endosseur l'avis qu'il a reçu en indiquant les noms et les adresses de ceux qui ont donné les avis précédents."
239,"Question: Quelles sont les sanctions pénales pour l'émission d'un chèque sans provision en Tunisie ?

Documents pertinents:
[1] Source: article 410 ter du Code de Commerce (modifié par loi n°2007-37)
Tout établissement bancaire tiré qui refuse le paiement d'un chèque, en tout ou en partie, pour défaut, insuffisance ou indisponibilité de provision doit immédiatement porter au verso du chèque la date de sa présentation, payer au porteur ce qui existe de la provision ou l'affecter à son profit et inviter, le jour même, le tireur, par télégramme, télex, fax ou par tout autre moyen similaire laissant une trace écrite, à approvisionner son compte ou à rendre la provision disponible, et ce, dans un délai ne dépassant pas trois jours ouvrables... Si le tireur ne répond pas, l'établissement bancaire établit un certificat de non-paiement.

[2] Source: article 411 du Code de Commerce (modifié par loi n°2007-37)
Est puni d'un emprisonnement pour une durée de cinq ans et d'une amende égale à quarante pour cent du montant du chèque ou du reliquat de la provision à condition qu'elle ne soit pas inférieure à vingt pour cent du montant du chèque ou du reliquat de la provision : - celui qui a, soit émis un chèque sans provision préalable et disponible ou dont la provision est inférieure au montant du chèque, soit retiré après l'émission du chèque tout ou partie de la provision, soit fait opposition auprès du tiré de le payer en dehors des cas prévus à l'article 374 du présent code."
240,"Question: كيف يتم ترقيم وتصديق دفاتر التجارة في تونس؟

Documents pertinents:
[1] Source: الفصل 9 من مجلة التجارة التونسية
يتم ترقيم دفتر اليومية ودفتر الجرد المنصوص عليهما في الفصل 8 وتصديقهما إما من قبل القاضي أو رئيس البلدية أو نائبه، بالطريقة المعتادة وبدون مصاريف."
241,"Question: ما هو الإجراء المتبع إذا رفض التاجر تقديم دفاتره التجارية دون مبرر؟

Documents pertinents:
[1] Source: الفصل 13 من مجلة التجارة التونسية
إذا رفض الطرف الذي يُعرض عليه الإثبات بدفتره تقديمه دون سبب مقبول، فإن القاضي يقبل ببيان الطرف الآخر ويحلفه اليمين."
242,"Question: كيف يمكن للدائنين رفع المزايدة على المحل التجاري وما هي شروط الوديعة المطلوبة؟

Documents pertinents:
[1] Source: الفصل 194 من مجلة التجارة التونسية
إذا لم يكف الثمن لوفاء الدائنين المسجلين والذين أبدوا اعتراضات في أجل الفصل 193، يمكن لهؤلاء الدائنين، في العشرة الأيام الموالية لانقضاء أجل الاعتراض، رفع مزايدة بالسدس. تطبق أحكام الفصول 252 و254 إلى 257 أدناه لكل ما لم ينص عليه في هذا الفصل.

[2] Source: الفصل 195 من مجلة التجارة التونسية
يجب على الموظف العمومي المكلف بإجراء البيع ألا يقبل للمزايدة إلا الأشخاص الذين أودعوا بصندوق الإيداع والضمانات، بتخصيص خاص لأداء الثمن، مبلغًا لا يمكن أن يقل عن نصف الثمن الإجمالي للبيع الأول ولا عن الجزء من ثمن البيع المشروط نقدًا مضافًا إليه زيادة المزايدة.

[3] Source: الفصل 196 من مجلة التجارة التونسية
تتم المزايدة بالسدس بنفس شروط وآجال البيع الذي وقعت المزايدة بخصوصه."
243,"Question: ما هي شروط ممارسة الدعوى الحلولية من قبل بائع المحل التجاري لعدم أداء الثمن؟

Documents pertinents:
[1] Source: الفصل 220 من مجلة التجارة التونسية
في صورة عدم وجود شرط صريح في عقد البيع، تمارس الدعوى الحلولية لعدم أداء الثمن طبقًا للفصل 273 من مجلة الالتزامات والعقود. وتقتصر الدعوى مثل الامتياز على العناصر التي كانت جزءًا من البيع فقط ولا يمكن ممارستها على حساب الغير بعد انقضاء الامتياز.

[2] Source: الفصل 221 من مجلة التجارة التونسية
عندما يتم حل البيع، يلتزم البائع باسترجاع جميع عناصر المحل التي كانت جزءًا من البيع، حتى تلك التي انقضى بشأنها امتيازه ودعواه الحلولية، ولكن فقط حتى قيمة ثمن البيع فيما يتعلق بالبضائع. وهو محاسب عن ثمن البضائع والمعدات الموجودة عند استرجاعه حيازتها بناءً على التقدير الذي يتم عن طريق خبير..."
244,"Question: هل يحق لتاجر التجزئة فرض حد أدنى للمبلغ للدفع ببطاقة ائتمان؟

Documents pertinents:
[1] Source: لا تحتوي الوثائق المقدمة على أحكام تتعلق بالدفع ببطاقات الائتمان أو الحد الأدنى للمبلغ.
(الوثائق المقدمة لا تحتوي على معلومات كافية للإجابة على هذا السؤال. أنصحك باستشارة محامٍ متخصص أو الرجوع إلى النصوص المنظمة لوسائل الدفع الإلكتروني وحماية المستهلك.)"
